RID,State,District_Name,Place_Name,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
A375ZA7IJH2ZGQ,ANDHRA PRADESH,EAST GODAVARI,VANTHADA(0404410014010400),3.716080075,129.4229205,18630.05786,6.635245884,,592.8853591,15.18001312,56.32907628,4.500656275,0
A2WT4IIHNFJGYT,ANDHRA PRADESH,EAST GODAVARI,PANDAVULAPALEM(0404410022010400),8.099124189,224.2362594,19909.54173,9.275883603,,418.6062131,16.86863693,66.42009251,3.05593375,0
A332AAPB4P75L4,ANDHRA PRADESH,EAST GODAVARI,G. KOTHURU(0404410023010600),8.316765884,214.3733941,22018.41744,8.059332377,356.8861356,363.2665162,18.4365245,100.3416744,4.628770537,0
A3MQSTAAJSUGF9,ANDHRA PRADESH,EAST GODAVARI,GAJJANAPUDI(0404410029010600),9.092223456,181.1015092,17978.98634,6.546599974,310.1357375,398.4108134,11.55827944,31.99799273,4.075075425,0
AE508CW7ON3EP,ANDHRA PRADESH,EAST GODAVARI,CHINTALURU(0404410028011000),5.584086638,188.3133238,28748.68774,7.544868789,326.6783629,280.4679159,8.39973464,54.91786184,2.559708228,0
A2M6O8YORUA8PW,ANDHRA PRADESH,EAST GODAVARI,P. JAGANNADHAPURAM(0404410035011600),10.22386216,248.0717353,28749.71654,7.513408466,393.6633955,283.6516335,13.78969532,84.60355617,2.672988737,0
AQ7QJ1GWE2BSR,ANDHRA PRADESH,EAST GODAVARI,REDAKONDA(0403813020010800),8.635848719,203.3615226,13672.09176,4.563008686,303.3097712,474.6076449,12.3638167,62.79830896,4.401424715,0
A3AER90E4ZWVN6,ANDHRA PRADESH,EAST GODAVARI,NEREDUVALASA(0403814028010800),11.18028447,227.2314692,25484.50849,9.077200017,404.0416347,563.8854815,17.92780641,71.97660103,4.370561937,0
A25YQEBU2FAD3M,ANDHRA PRADESH,EAST GODAVARI,KADIYAPU SAVARAM(0404131002010300),7.360640106,165.5207973,32452.61441,7.550700907,326.6243535,425.3834195,15.58681044,78.74001566,3.662291783,0
A1T14KXM4GH14A,ANDHRA PRADESH,EAST GODAVARI,KADIAPULANKA(0404131002010400),7.974521649,218.6933005,18767.65668,8.110384501,,364.0982305,14.5257457,76.48591118,4.011718108,0
A1H9VU1FACOXLN,ANDHRA PRADESH,EAST GODAVARI,DHAMIREDDY PALLE(0404131004010700),7.119824384,156.7049933,18730.81365,3.606036091,282.3440505,347.7150273,15.92953591,79.50077834,3.445756223,0
AWJ1Z81HHB0MY,ANDHRA PRADESH,EAST GODAVARI,VEERAVARAM(0404131005010800),7.496232208,205.3449822,28388.00489,5.072557774,,444.6453523,13.2283111,70.30021265,4.777382337,0
A2NP8RNW9T5BQF,ANDHRA PRADESH,EAST GODAVARI,MURAMUNDA(0404131006011000),6.347271761,186.7328807,41065.23476,9.629596276,364.4876872,516.7432819,11.53978119,75.07161729,4.376348291,0
A2JRK3K99168A1,ANDHRA PRADESH,EAST GODAVARI,JUVVIPADU(0405139005020500),7.0517858,211.0494061,30980.60079,10.09479601,,315.1412672,20.39702184,56.65160379,4.268428858,0
A1L4RDILGM7D9E,ANDHRA PRADESH,WEST GODAVARI,KANDARAVALLI(0506141005010600),9.181560007,273.8138067,24041.32628,6.904989726,398.3505168,477.9746419,13.38734078,71.45736221,4.503660796,0
A2VUB6YYTF234O,ANDHRA PRADESH,WEST GODAVARI,VEERANNAPALEM(0507302025071000),8.975464348,279.3571668,19460.39813,6.204320859,,431.44399,12.88875905,63.8212371,2.43608559,0
A21BLUM0I2Y3MW,ANDHRA PRADESH,WEST GODAVARI,GOLLAGUDEM(0507409017020800),7.371050302,214.4966105,25630.32004,4.43266929,335.7544386,469.9145515,12.50916394,62.79727715,2.560299148,0
A1VKNACW03M5H7,ANDHRA PRADESH,WEST GODAVARI,CHINNAVARIGUDEM(0507307009020700),7.98221,227.4350484,22305.56741,10.33391789,,554.8200865,16.33169328,45.38281518,4.133422644,0
A2582KMXLK2P06,ANDHRA PRADESH,WEST GODAVARI,ARJUNUDUPALEM(0506431010091000),6.660212026,168.2837469,30944.36359,5.858769131,310.9308583,523.6712975,17.88423519,77.04231805,3.749701241,0
A34HSMRAQY5XKX,ANDHRA PRADESH,WEST GODAVARI,KALAVAVODDU KAPULAPALEM(0505944012162600),8.34345,215.9778587,17107.22423,5.607060453,326.9439777,436.256194,14.18906221,59.85547583,5.459250956,0
AUUWUS51SMMT4,ANDHRA PRADESH,WEST GODAVARI,MUDUNURUVARIGARUVU(0505944013032900),3.902475686,196.9032467,21167.5001,6.996311586,,444.4788825,16.60903316,90.18167588,4.528522696,0
A1YZV2UY0QDZTX,ANDHRA PRADESH,WEST GODAVARI,GHATALADIBBA(0506440003030300),5.400301781,140.7390623,17266.59342,10.05685248,328.3582407,472.8740733,11.25638117,56.93190645,4.82478639,0
A3QN14A5DGUA0U,ANDHRA PRADESH,WEST GODAVARI,MADDIGUNTACHERUVU(0506140012051200),6.514415093,198.7673513,21218.70287,8.67093692,323.596349,413.2904501,14.89999957,79.84784281,5.200885077,0
ABHXONN9HSUZI,ANDHRA PRADESH,WEST GODAVARI,TALLAPALEM(0506140014061400),3.445061864,207.9262602,33424.76868,8.782147481,384.0070058,441.7858757,13.80590221,30.2845972,4.184396969,0
A3OM7Q1IVAGLUW,ANDHRA PRADESH,WEST GODAVARI,VELAGALAVARIPALEM(0506639005060500),9.236383,145.7681806,13224.93564,7.906444721,304.0019928,298.9906665,12.72952472,49.5368488,4.004871128,0
A3BUE5AHX4M0FS,ANDHRA PRADESH,WEST GODAVARI,BATLAMAGATURU(0506639008010900),8.909378,266.4210181,26362.96501,7.70006347,395.3894903,364.4801067,10.34895076,53.00838135,3.991564248,0
AQX8FF2YCO3J7,ANDHRA PRADESH,WEST GODAVARI,GARUVUPALEM(0506639005021800),9.2838,148.1530614,15193.41347,9.046832707,307.0117926,563.8047433,16.56865557,52.67618503,6.038184953,0
A27UE9HJRZ22YI,ANDHRA PRADESH,WEST GODAVARI,CHEGONDAPALLI(0507303013010500),7.181448581,209.6256005,15196.22999,5.994678646,338.3364311,342.1112863,7.922598333,71.53795326,5.088859989,0
A3MBRJ5X24GXM9,ANDHRA PRADESH,WEST GODAVARI,NADUPALLI(0506921016011800),9.825489908,190.7566183,19677.89247,6.757540731,,452.8362349,16.8990378,47.08197119,2.857472426,0
A3J6I70Z9Q0HRX,ANDHRA PRADESH,WEST GODAVARI,YERRAI CHERUVU(0506528010030900),10.43329098,117.7912296,22326.89205,8.161504811,307.7075086,412.9868338,12.89070856,65.73347839,5.057310517,0
A1YLOZQKBX3J1S,ANDHRA PRADESH,WEST GODAVARI,KADIMIKUNTA(0506922025022100),7.414148196,235.0445345,32555.85254,6.845952024,387.1753165,411.9833642,10.24481507,44.48929725,3.160624468,0
AVQIRN6E7J7UA,ANDHRA PRADESH,WEST GODAVARI,RAVIGOPPU(0506142012061400),9.836487,232.280452,14787.20626,5.474914832,,383.981723,12.16693715,86.08072748,5.029166724,0
A1XM65S80UQ2MD,ANDHRA PRADESH,WEST GODAVARI,ANKALAMPADU(0507411012010700),5.115817064,191.952743,19620.54533,6.060712995,323.8363839,441.7483793,10.96648615,49.23823132,3.902088768,0
AFUMZHRZJG0H0,ANDHRA PRADESH,WEST GODAVARI,JANGAM COLONY(0507411013050800),3.641629777,183.9087223,24752.07246,5.538314133,286.059556,456.8600959,9.034066753,73.59465676,3.464353035,0
AIW47KAXVTR0X,ANDHRA PRADESH,WEST GODAVARI,GUTLAPADU(0506236012021000),5.618064406,304.2359121,17281.97517,6.101083505,,399.4715663,12.26500158,81.58899246,2.896546941,0
A1R2P21ZYNJCFJ,ANDHRA PRADESH,WEST GODAVARI,VEMPA(0505936016012300),9.93843,143.4537313,19942.27322,5.890754583,,427.1306715,22.46989199,53.12409422,2.907563915,0
A37AO20OXS51QA,ANDHRA PRADESH,WEST GODAVARI,HARIJANAVADA(0505936016022300),9.267187531,198.6143947,24683.72357,6.110612421,328.0775332,396.8769491,16.47196935,30.38331457,4.324004646,0
A3R6W1FEYDNT8V,ANDHRA PRADESH,WEST GODAVARI,KOTTAMALAPALLI(0505936016032300),8.98793,233.8589957,11703.92391,4.599387943,309.0393204,349.3996325,18.33889255,42.67746528,3.510004045,0
A2VBZOK3SVSDWA,ANDHRA PRADESH,WEST GODAVARI,SETTIBALIJI PETA(0505936016042300),5.331940479,194.8740654,16658.8765,7.993829562,316.6751618,335.1203984,10.1805138,59.57271371,4.434820258,0
AREOHWLWVX0A8,ANDHRA PRADESH,KRISHNA,GURAZADA(0608429001010100),7.145771545,238.6899285,28780.34043,6.814028701,385.9756505,332.0327063,11.0931634,66.13804475,5.182590704,0
ADWJAJZTHNYN6,ANDHRA PRADESH,KRISHNA,GUDEM(0608429001010102),9.920691059,202.817483,9973.934059,6.882248307,337.3505291,333.1924699,23.91760126,71.83362396,4.69070723,0
A3UD9G34YLWVXE,ANDHRA PRADESH,KRISHNA,S.T COLONY(0608429001010103),4.758439425,183.3494541,21568.42878,4.731348985,,403.9441682,18.66822946,66.91240003,4.542801462,0
A2Y4IWY1ZXLXH8,ANDHRA PRADESH,KRISHNA,"B.C,S.C&S.T COLONY(0608429004010405)",5.702925977,216.8504739,35606.44018,7.184351089,,504.6382604,16.14079002,77.53618352,4.137739016,0
AHAX3RWULQD6T,ANDHRA PRADESH,KRISHNA,BEACH AREA(0608837003160300),6.953864226,209.638293,10575.18628,4.462707246,315.6065944,391.1843151,13.28533392,87.39088898,3.195710328,0
A2LFHPZFG1OHBZ,ANDHRA PRADESH,KRISHNA,MANGINAPUDI(0608937005010500),10.68296643,173.3754984,15758.74062,5.570783575,307.3525858,323.8079132,10.09086975,78.47278445,3.999775382,0
A297HRGWRID7I6,ANDHRA PRADESH,KRISHNA,MARRIDIBBA(0608937005030600),9.62871,129.8905723,34415.85315,6.32192899,304.5352242,470.3291685,18.59940992,72.40363387,4.405586,0
AMYAHFQZI19LS,ANDHRA PRADESH,KRISHNA,CHEEKATIVANIPALEM(0608937012041200),8.757257397,200.1914004,21536.22469,4.915101055,317.8829005,404.7177992,13.76832331,47.93087188,3.626135442,0
A28VTF9FQ42SBV,ANDHRA PRADESH,KRISHNA,BODAGUNTA(0608844003020300),8.93783,168.3884308,27492.30731,7.046224798,299.8204779,383.79502,16.18206649,75.72943389,3.048057223,0
A2H03V8PAZDU9J,ANDHRA PRADESH,KRISHNA,REDDIPALEM(0608844003030300),7.809631898,100.4576151,12013.55063,5.212314602,247.200826,605.2201244,9.61134874,66.08417364,2.447444464,0
AUXHG88OYWCGM,ANDHRA PRADESH,KRISHNA,UPPALAKALVAGUNTAPALEM(0608844004030400),6.652488091,145.0101719,19871.78845,4.96106638,288.0521917,545.9749938,10.94202426,71.72741406,3.742090426,0
ATN552TF5V40Z,ANDHRA PRADESH,KRISHNA,MUTCHILIGUNTA(0608844010010500),9.147197055,211.7141418,11920.61084,7.230794769,339.7519188,527.70891,18.27531211,47.63488493,3.794531591,0
A3DSWITPB6NBT5,ANDHRA PRADESH,KRISHNA,SERI VARTHELAPALLE(0608844009010900),10.56074464,181.8933656,21783.65103,6.991259996,340.3903784,456.5564021,16.48283537,34.25204908,3.96468635,0
A215QEI3FPLVXU,ANDHRA PRADESH,KRISHNA,MULAMARRIGUNTA(0608844009020900),7.484254838,260.0921726,30616.61515,9.379133541,,404.6707773,15.93448387,66.62102655,4.781188177,0
AAZ084UMH8VZ2,ANDHRA PRADESH,KRISHNA,GURIVINDAGUNTA(0608844014011200),8.520806573,238.3351125,28779.65001,8.282808465,381.6493229,481.3188027,6.016336609,39.09117136,3.94060453,0
AFLLCB3F28N6A,ANDHRA PRADESH,KRISHNA,DEVARAPALLE(0608844021011500),4.999413811,190.2870501,24323.8659,7.230164127,324.8930378,405.330482,8.236557503,99.42738492,4.460683932,0
A3T8PIRVS2LX4P,ANDHRA PRADESH,KRISHNA,NANDAMURU(0608844023011800),9.78273,157.8011936,16963.62501,8.33561855,300.0442343,360.9959945,12.82386095,71.7170051,4.405385706,0
A18RVAXFLALN6E,ANDHRA PRADESH,KRISHNA,TIPPAMEEDA(0608844023021800),8.98987,155.0557268,20557.24043,8.18731905,,290.1809831,16.62225518,59.62205746,4.08990769,0
AVPSSODZIDABZ,ANDHRA PRADESH,KRISHNA,CHINANANDAMURU(0608844023031800),3.906078355,233.402835,32144.79993,6.994839617,348.3594482,269.4490512,9.6541256,63.74306384,3.902879712,0
A2RXRKRI8YSQWQ,ANDHRA PRADESH,KRISHNA,SATYANARAYANAPURAM(0608844023051800),6.391353624,213.0178297,20965.47831,5.375559892,327.6505425,369.3381209,13.75810517,17.91572257,3.923749169,0
